name,tweets analyzed,tweetCounter,movieTermCount,total retweets,positive percentage,positive retweets,negative percentage,negative retweets,neutral tweets
Redemption,15,15,0,4933,40.0,2865,20.0,181,40.0
The Kings of Summer,0,0,0,0,0.0,0,0.0,0,0.0
Short Term 12,2,2,0,4861,50.0,4842,0.0,0,50.0
Blue Jasmine,1,1,0,25,100.0,25,0.0,0,0.0
The World's End,14,14,0,16179,35.714285714285715,15377,14.285714285714286,349,50.0
Frances Ha,0,0,0,0,0.0,0,0.0,0,0.0
You're Next,15,15,1,10322,46.666666666666664,8272,6.666666666666667,202,46.666666666666664
The Mortal Instruments: City of Bones,0,0,0,0,0.0,0,0.0,0,0.0
Paranoia,13,13,0,2128,15.384615384615385,112,15.384615384615385,496,69.23076923076923
Ain't Them Bodies Saints,0,0,0,0,0.0,0,0.0,0,0.0
Jobs,14,14,0,24936,28.571428571428573,12562,21.428571428571427,2635,50.0
Lee Daniels' The Butler,0,0,0,0,0.0,0,0.0,0,0.0
